,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy,/player/Hugh Zhang,/player/Lydia Wen
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9973946
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
4,/player/Hugh Zhang,/player/Lydia Wen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10430651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438419
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034050
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX6460365,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202776,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401128
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448532,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Muffin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/Hugh Zhang,/player/Lydia Wen
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202776,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401128
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034050
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX6460365,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10430651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438419
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386,/player/Hugh Zhang,/player/Lydia Wen
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX6460365,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448532,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Muffin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9973946,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy,/player/Hugh Zhang,/player/Lydia Wen
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9973946
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
29,/player/Hugh Zhang,/player/Lydia Wen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10430651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438419
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034050
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX6460365,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202776,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401128
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448532,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Muffin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/Hugh Zhang,/player/Lydia Wen
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202776,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401128
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Elisse Dy
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033097
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034050
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX6460365,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449612,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10449617,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10430651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438419
