,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438444
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019338
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033052,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033375
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417852,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10433923
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034306
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450152,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LOL
8,/player/Yogesh v Sabnis,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10430651
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/99999999999999999999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47672
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/Anthony Chu
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2515434611522,/player/Trevor Tan
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2873,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032711
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033455
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10398884
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019338
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450152,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47913
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436929,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450101
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438444
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417852,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019338
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10440710
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033052
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/99999999999999999999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47622
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/051601,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450334
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2515434611522
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2873
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2886
29,/player/Anthony Chu,/player/Trevor Tan
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033455,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032711
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10398884,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436404
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417852
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10438444,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10440710
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10448386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019338
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450334,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10436929
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450101
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10450152,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/99999999999999999999
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LOL,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47622
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10433923
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/940503-04-5439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017317
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033455,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10398884
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018886,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418596
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034306,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034305,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034035
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10442289,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4458
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/060288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549
50,/player/Yogesh v Sabnis,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10446864
