,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480757
1,/player/Andrew Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483537
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/13179292,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480808
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9534436,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47375,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9481083
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47208
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034035,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480821
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9522049,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018435,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480851
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9549367
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480773,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480812
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483467,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466556
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466597,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/021800,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480672
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033985,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034698
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9504190,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47654
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480741,/player/Farhaan Hirani
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480762,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1337
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/20126633,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480943
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483477,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480645
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033455,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483558
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9516674
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2835
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466624
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9523464
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47622
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034035,/player/Elliot Tu
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9503690,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480743
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9489793,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675
29,/player/Andrew Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9520746
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/13179292,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483467
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9549930
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480758
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9534408,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9549367,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/iSmash08
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480752
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483475,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47654
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480741,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9534436,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480943
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480922,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47580
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018199,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dxv
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9514379,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480782
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483629
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018435,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9511671
44,/player/Andrew Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9534198
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9547362,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466521
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466579,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480773
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9481122,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034061
48,/player/Joseph Zhang,/player/Saneesh Nambiadan
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47622
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034035,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9504190
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9522049
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480769,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47608,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jihan Yin
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71617372,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/021800
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/203041,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9533887
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480943
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9511671,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480851
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/976896675
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9534436
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9481122,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466579
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47207,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9466531
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9489793,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483467,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480768
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480813
67,/player/Joseph Zhang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033985
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480762,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47208
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9483475,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034035,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480922
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018199,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9520746
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9480741
