,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10032492,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47841,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10023709,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10029206,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9955637,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sohum Pulijal
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037955,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037981,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10057620,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10042830
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47227,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47487,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47615,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47205
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10032492,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47841,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10023709,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10029206,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9955637,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sohum Pulijal
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037955,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037981,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10057620,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10042830
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47227,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47487,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47615,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47205
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012153,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/403033,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018454
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034165,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034522
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10055641,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10058912,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47302,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47235
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10067069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10067058,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035640,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47294
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47227,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10057620,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012153,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/403033,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10055668,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10046167
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10059027,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10055784
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10058930,/player/Kevin Banh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037877
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033093,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10038021,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/alicehaha
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10041210,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10041084,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012028,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/SBC100009
