,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035087,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035637,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020044,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11250691
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47271,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018224,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11246418
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11263384,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jeffreytj6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182855
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11176371,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71614052,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301189,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182579
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11261120,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11261119,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11266348,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11266376
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11264640,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11264614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11257890,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11288238
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47302,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11288378,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034562,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035497
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/535534,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11246975,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VMB,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11179578
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11267523,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11296056,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11228981,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11258933
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182839,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182858,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11266420,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11266426
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11257826,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11267483,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11184820,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182791
11,/player/Kris Chau,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182756,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11299581,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11299720
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034316,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182867,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11182847
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47205,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47266,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11264430,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11271837
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11257825,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11181511,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11179623
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/DNE-01,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/709264,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11299557,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11299605
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/yiliu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/35623VA
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47613,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11270208,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/The Yellow Flash,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/cookoo
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11264698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11264267,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11261020,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11228981
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020111
