,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618808
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020034,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618157
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620532,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11607882
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11573370,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11570323
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618579,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11617783
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/JulianMorales,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10005239
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018126
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019854,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620559
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11602139,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620508
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018924,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11601298
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620635,/player/Sundaresan Balachandran
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11619606
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620228,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11616776
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/raghk,/player/Harikesan Balachandran
15,/player/Vinod raja Yenni,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11585357
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11575663,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620571
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11541775
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11607045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618120,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach Osvert
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11582131
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11534791,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/100369
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620423
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/144,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034306
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11605091,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00641740
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jianguo
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018140,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11612474
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/574,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11568052
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033970
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Manomay2003,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11589269
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11602139,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11619606
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618213
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11617887,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11614240
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11612115,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019705
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jianguo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/100369
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/232556,/player/Vinod raja Yenni
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bnie2017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620571
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11585357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47899
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11620494,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11619497
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019382,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020122
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2036070,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018243
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/38016IE,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/NishiDharia
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618750,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11466688
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018126
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11617887,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11614240
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033535,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/¯/_(ツ)_/¯
