,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Aaa,/player/Dorothy Lee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10921042,/player/Lei Paeste
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10928387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201506088819470,/player/David Liang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1257
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10913486,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Alicia Wong,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10928000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10928001
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033831,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10949434,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10952182,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10949188
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10962620,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47270,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10950299,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10918271
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ayelenell,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10954453,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10888869,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10960836
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10913788,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10913787,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10957267
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10888977,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10888899,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10949236,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10949242
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10881738,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10881741,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10917328,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10909775
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Aaron Sun,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10962543,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10905431,/player/Raghu Venkatesan
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10854928,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10852141,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018936,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47670
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10962598,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123123123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47675
