,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11063352,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/88888888
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11023351
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11023411,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11046306
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11043027,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11065758
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BBA-Member-Benjamin-,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX8494576
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11059537,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11065236,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11046438
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018126
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BBC-Member-Eric-Sin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11064831
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11041959
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11053291,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11046306
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10005239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/iSmash
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035253,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47654
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/001791,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
