,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/georgeyap,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345678
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019649,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123199201
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1528519
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/78825361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/35486WC
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/666,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Hello
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4931,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/100369
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/74321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/idontknowwhatmineis,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/64321
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47785,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/NhanNguyen
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/92653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/36859PX
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033398,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/72299
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47375,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3327
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HiroLe
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10218976,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/81843171
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Nick,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345678
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EWBP,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/36960ST
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/204688165,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019649
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/78825361
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4931,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/666
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/idontknowwhatmineis,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47785
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033398,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/92653
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47375,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032966,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/45342
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/674537,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/36908IY
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lolyou,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1367378
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/811811811,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Justeen
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/891992,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/204993293
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123454321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200504622
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/35722ZD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/704785060
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/91753718,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47060
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Nick,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/74321
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EWBP,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10218976
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/131,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/yg4hun
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pokemon100,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/mem009
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peasant2,/player/Ethan Samnang Song
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/891992,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032622
