,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12551481,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554779,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12621123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47917
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019209,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019285,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554923
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12517593,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12531036
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3910,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VanessaDINH
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12607729,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/141421,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12333,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019494,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12541724,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12539978
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034559,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47271,/player/Nelvin Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/07151999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/665
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/534068,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/535534,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12612517,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12612432
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/05161229,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Trumantang
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VMB,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554576,/player/James Huynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597787,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12410134
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/111111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12588602,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/i dont have a member,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/clementhoang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/tonylu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12549437,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585455,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554862,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554875
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12531184,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12554874,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12629926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G5861
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71623167,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/53056107
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035253,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018243,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/117,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47668
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/98590,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01191990,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB
19,/player/Ramon L Sua,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0118,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12458416,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12632231
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12627057,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626984,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12607635,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12607641
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12541775,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12541724
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aceofclay,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12621056,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12621055
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020097,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019285,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12607802
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019494,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3863,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604735,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/141421
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034559,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034316,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/009772139,/player/Catherine Liu
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12531036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12531038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12551392,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12539978
