,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909183
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866202,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866213
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909400,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11902583
3,/player/Harikesan Balachandran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11901578
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11902903,/player/Jason Wu
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020504
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01123581321
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/561,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866422
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pardhanaresh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909200
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866196,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/16364578
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX8494576,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11903029,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035324,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035529
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035523
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11898333,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11892294
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866203,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866191
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/antnguyen
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11914402,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/05161229
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11914066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019416
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11895023,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11892256
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020491,/player/Nitya Tanmayee
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909147,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909372
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11898053,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11908919
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909400
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909383,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020504
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018139
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018224,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11898125
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033438,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/459321
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47257,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/98590
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018140,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/20126633
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/104829339492
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3467,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020034
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11908333
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11903029,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/171717
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11892294,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035523,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/232556
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11914066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX8494576
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12839470129384701298,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11895023
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48019,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020491
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035848,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32991
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019416,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866202,/player/Connor Chan
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/Sundaresan Balachandran
45,/player/Harikesan Balachandran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11905197
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909200
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018224,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018139
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/antnguyen
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909383,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/16364578
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909400,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020387 E
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11902903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11869148
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pardhanaresh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035529,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BBC-Member-Eric-Sin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jimbae
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/IDONTHAVEANUMBER
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866191,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11914390
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034553
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/459321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/561
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11866422
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11892294
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035523
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018140,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11914066
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11898053,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11909372
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11898125,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12839470129384701298
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018230,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48019
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018224,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020034,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/104829339492
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035565,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614
