,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018924,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48018
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47437
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034493,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033970
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47304,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019696,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47615
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47841,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033955
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034097,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018341
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47660,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019720
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47205
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1008654,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019381
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019573,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019814
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034562,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47301
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47227,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018360
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034306,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035548
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47271,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018171
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033540,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020540
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034522,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018585,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47618
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034329
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034706,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019875
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034264,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020133
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034041,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018449
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47652,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018243
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034049,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034051
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034546,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019332
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018240,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018224
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033309,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035497
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47207,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019208
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47377,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020290
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47687,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1006883
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035604,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47378
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47302
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47984,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019915
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035523,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018221
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018461,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020303,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47216
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2036000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020504
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018164
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019308
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47294,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018478
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033433,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47270
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033458,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47614
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034319,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035565
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019307,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019933
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019487,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018691
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019318,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018935
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019515,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020536
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019506,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018245
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018334
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019209,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020513
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019564
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019500,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019716
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017675,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018891
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019494,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019285
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019219,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020252
