,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/a5512,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G5972,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13321014,/player/Karyee Chan
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2515434611522,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32511UC
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564,/player/Sudhanshu Singhal,/player/Gauri Ghate
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4444,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13303720,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13407080,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/111777999
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13341727,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/800000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2515434611522,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019329
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033370,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2408,/player/Sudhanshu Singhal,/player/Gauri Ghate
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13184557,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13418777,/player/Gillian Xu,/player/Justin Fang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/110812345
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32511UC,/player/James Huynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/66666666666
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2132132154,/player/Kathy Duong,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/009772139,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13420829
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/535534,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3442,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jeffrey,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/915944510,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/912683531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2017202199
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13403694,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13403928,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13184557,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCD,/player/Sudhanshu Singhal,/player/Gauri Ghate
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A8187,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G6113,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13398361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13399673
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13391024,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13391029,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2992,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385871
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13416195,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/...,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13313219,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VanessaDINH
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Kevin+T.+Tran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13420502,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1925,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13406717
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2424,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201506088819470,/player/Tristan Garcia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/58239
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033370,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2408,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564
