,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach+Yee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13395845
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13284288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13402068
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385828,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393920
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13370967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018471
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13403694,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13386706
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/154
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1002506,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/74859
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393840,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13398347
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393917
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/09769696420754
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020112,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13312705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1357
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13419461
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47410,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13334908,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach+Yee
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13284288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13248074
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/9152505
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393840,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13270957
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1002506
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385866
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019710,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13403694
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018341,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385828
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13370967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020780
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13338697,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2824
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13183544,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020387+E
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13421164
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13395845
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/09769696420754,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018471
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1002506
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/74859,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13386706
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2824,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385828,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13402068
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13398347
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13355504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13390688
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tep70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393920
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13334908,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tim+Huang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13284288,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13248074
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan+T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393917
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033310,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4444
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018341
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13393840,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach+Yee
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/459321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/justinc,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21357475
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020780
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0051,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13413794
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13410838,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020112
49,/player/Tristan Garcia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/915944510
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13403181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo
51,/player/Domenick Owen Wuu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019710
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13396978,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13385866
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13334908
