,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020112,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/000000
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pmcdonnal,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00000
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/9152505
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Badminton,/player/Roger Tan Vu-Mai
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/328074413,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020686
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47601,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111111
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jerryuen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/tommy13810,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/INT31
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/156844651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach+Yee
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8105
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smash4life,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017120111647094
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/Prashant Reddy Adavelli
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan+T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/asdfgh
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020112,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pmcdonnal,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10043
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1021755
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033310,/player/Vivek R Gupta
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/Jayanth Srinivasan
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/328074413,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/No+Id
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/%2310,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3032668680
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Team
23,/player/Albert Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/notavailable
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1234567890,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042
26,/player/Jayanth Srinivasan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Husky+Badminton+Team
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Team,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Coach+Yee
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/544703,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020793
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0000000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10043
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3032668680,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020784
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan+T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smash4life
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/000000
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10043
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/328074413,/player/Matthew Tse
35,/player/Ethan Soo,/player/Vivek R Gupta
36,/player/Matthew Chan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/156844651
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111
38,/player/Albert Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/sam123
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020112,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/clemmy
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/No+Id
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47601
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8675309
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020686
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pmcdonnal
45,/player/Kenny Luu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/IDkwhatitis
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47659,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111111
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011999767,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/INT31
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1234567890,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00000
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Team,/player/Jayanth Srinivasan
