,Winner,Loser
0,/player/Jordy Supandi,/player/Caio Li
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/Daniel Wu
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035848,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11113779
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21357475,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400545,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47660
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11224466,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11263152,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jaron Huang
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327484,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708
10,/player/Avinash Gautam,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jonjong1212
11,/player/Tae Yang Desmond Hung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11309041
13,/player/Nabin Lin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295947
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11326918,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295747
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301434,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB# 2035548
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11342823,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327715
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/Youchang Li
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961
20,/player/Caio Li,/player/Daniel Wu
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11113779,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47660,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jaron Huang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jonjong1212
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11309041,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295947
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB# 2035548,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295747
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11342823
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327715
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/Youchang Li
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
32,/player/Jordy Supandi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035848
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21357475
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400545,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11224466
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11263152,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327484
37,/player/Tae Yang Desmond Hung,/player/Avinash Gautam
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/Nabin Lin
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301434,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11326918
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327715
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11342823,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/Youchang Li
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035848
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11224466,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21357475
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327484,/player/Avinash Gautam
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11326918,/player/Nabin Lin
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/Daniel Wu
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jonjong1212
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295747,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295947
52,/player/Jordy Supandi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202066
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400545
54,/player/Tae Yang Desmond Hung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11263152
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301434,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106,/player/Caio Li
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47660,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11113779
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Jaron Huang
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB# 2035548,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11309041
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11342823
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11224466
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432,/player/Youchang Li
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327715
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327484,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11326918
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11295747
68,/player/Jordy Supandi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327618
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301434,/player/Tae Yang Desmond Hung
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47660
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB# 2035548,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327484
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47432
74,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
75,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB# 2035548
76,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11342823
77,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035526
78,/player/Jordy Supandi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11301434
79,/player/Jordy Supandi,/player/Caio Li
80,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/Daniel Wu
81,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/202066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456
82,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035848,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47106
83,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11327618,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11113779
84,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21357475,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
