,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ON13504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0346
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641358,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12635183
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626938,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12650038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smeli5a
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12481670
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12536560,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604748,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcap,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/alie
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643003,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634982,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634937
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12637441,/player/Corliss Sio,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/425113600,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604835
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ON13504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2343242,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/234324
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626970,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626938
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12642960,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12536560,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604748
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643003,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/824
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX5535685,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/23432421,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12637441,/player/Corliss Sio
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2343242,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/234324,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626938
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0346,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634982,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634937
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12650038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smeli5a,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641358,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12635183
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12536560,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604748
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/824,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12637441,/player/Corliss Sio
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ON13504
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626970,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12481670,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcap,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/alie
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/425113600,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604835
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12642960
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX5535685,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/23432421,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643003,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643017
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2343242,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/234324
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/824,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641358,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12635183,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634982,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634937
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/425113600,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604835,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcap,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/alie
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX5535685,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/23432421
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0346,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12650038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smeli5a
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12481670
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/824
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/425113600,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604835,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641358,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12635183
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035412
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0346,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ON13504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12597917,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0346
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641358,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12635183
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626938,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12650038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/smeli5a
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12481670
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12536560,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604748,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcap,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/alie
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643003,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12643017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634982,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12634937
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12637441,/player/Corliss Sio,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/425113600,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604835
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018915
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ON13504,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2343242,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/234324
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12585658,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401717
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626970,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12641949,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12626938
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12642960,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/999999
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12536560,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12604748
