,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71614052,/player/Mindy Dinh
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/300088899,/player/Truman Tang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ZBTC,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G1234
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789123456789,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4016,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chubby 2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Its KT
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671773,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011982698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12670552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662497
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662613,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G3452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4yfg719,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4yfg718
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680610,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/53056944,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12701736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12701734
6,/player/Justin Nguyen,/player/Mariel Ng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680756,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71623167,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697454,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697383
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/300088899,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/honhonhon,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chubby 2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12686779
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671773,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/699,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12700906
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/JabinDang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Justinian2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/JeffersonPen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680199
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/Truman Tang,/player/Brandon Lin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680610
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019693,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42003396,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71617372,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12692439
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680756,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71623167,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71613831,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Team 1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Team1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12701245,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12701782
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/300088899,/player/Anthony Tran,/player/Ryan Le,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42069
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71614052,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/28917382743,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/38475849569
