,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697454,/player/Ryan Le
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019693,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VMB
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/699,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671742
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G3452
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo
7,/player/Timothy Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G1234
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ZBTC,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034051
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662497
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697383,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697959
11,/player/Philip Ngo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662503
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12692439
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71617372
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4yfg719
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G3452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01123581321
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697454
17,/player/Brandon Lin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671742
19,/player/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697454
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019693
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/699,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697348
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12839470129384701298,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01123581321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71613831
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes
28,/player/Timothy Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ZBTC
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12700906,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42001653
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12667243
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42001653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/Brandon Lin
35,/player/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G3452
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671742
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G1234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4yfg719,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01123581321
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697383
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/Philip Ngo
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12839470129384701298
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42001653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12667243
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12700906,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/01123581321
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12692439,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662503
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/699
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671742,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697348
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12700906,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12667243
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12700906
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12667243,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bayvietboi
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4yfg719,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12662497
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G3452
59,/player/Timothy Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42001653
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/G1234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ZBTC
62,/player/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606
63,/player/Brandon Lin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019693,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71617372
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12671742,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/John4269
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697454,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71613831
