,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcc hao gao,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2036155,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ducnguyen118,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1310
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5423556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCSD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/08032000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5554160
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035050,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1970,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Hieu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004395
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5423556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCSD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/bcc hao gao,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2036155
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5423556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCSD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035050,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1970
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dee Gee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chetong18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BRING BACK DR MAYS,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Serra
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200502958,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200610322,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2036083,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47833
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200502958,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200610322,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dee Gee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chetong18
8,/player/Ronald Tan,/player/Trang Tan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200502958,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/sdbcc Andrea
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5423556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/UCSD,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dee Gee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chetong18
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/25993IG,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/27182818,/player/Kevin Thai,/player/Philip Tran
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Hieu Dinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tim Truong,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/08032000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1310
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Francisbriones,/player/Johnny Lui,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200502958,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/200610322
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dee Gee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Chetong18,/player/Kevin Thai,/player/Philip Tran
14,/player/Jun Bautista,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Pbca/baddixx,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Hieu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004395
