,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9331419,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9331827
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9337320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9321648,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9321529,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9321526
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9336265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9336293,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9342774,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9327967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9337434,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/115,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9310406
4,/player/Olivia Chen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47652,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA0640,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/EBA0647
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035637,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034051,/player/Leonelyn Anova,/player/Justina Wong
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9310343,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9331766,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9325407,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9329960
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9335890,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9335961,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9333261,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9333265
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9336437,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401714,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9318798,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9328116
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9336167,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9336239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/10015861,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9333032
