,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5103660464,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10413644,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10420032,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10420038
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201605099739605,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417336,/player/Trevor Justin Yeh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9973946
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/042599,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426815,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419975
3,/player/Ryan Suwito,/player/Vicky Hoang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034507
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415075,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aa850705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5103660464,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10413644
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Andres Ip,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/N/A,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417327,/player/Lillian Cheng
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX5535685,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/824,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400545,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032721
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018531,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10420024,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401651,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/xx6933551
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419513,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/iSmash,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418484,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12082953
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201605099739605,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417336,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10413637
