,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201605099739605
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bintang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LOL
2,/player/Trevor Justin Yeh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419492
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426815,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB
4,/player/Nelvin Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059,/player/Fengjiang Li
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419977,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417284
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789123456789,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426778
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419826
9,/player/Daniel Bi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/051601
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10423248,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426484
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10425220
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4401129,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/111
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/051601,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419584
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035502,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418435,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/NONEEEEEEEEEEEEEEEEE
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419800
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10416983
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bintang,/player/Trevor Justin Yeh
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419977,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415075,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789123456789
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10423248,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7465969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ilikecheese
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/051601,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419826
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035277,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48017
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415699,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47326
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426815,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321
30,/player/Nelvin Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059
31,/player/Daniel Bi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aa850705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10420039
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Xx601,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47593
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415384,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419950
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/xx6933552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418592
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10416484,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401651
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/IID01468851,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035502
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419492,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10425226
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10421116,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426834
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035277,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415699
42,/player/Ryan Suwito,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419977
43,/player/Timothy Yung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426617
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418435,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10420021,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LOL,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419492
47,/player/Timothy Yung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011340030
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/USAB,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/88888888
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/idk,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426018
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426778,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035502
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789123456789
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10425196,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/130123
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Michelle Trieu
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bintang
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aa850705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Xx601
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/xx6933552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415384
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018614
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10418592,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10415384
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42013059,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426001
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10426484,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10417284
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Bintang,/player/Daniel Bi
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10423248,/player/Nelvin Lo
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/NONEEEEEEEEEEEEEEEEE,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/ilikecheese,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10425220
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10419584,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/88888888
