,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10747537,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10743770
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/panaaron,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47227
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10707274
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10745614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/232556
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10727304
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10691007,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10749925
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10753798
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dat Nguyen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2811
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10748231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10731610
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10759193,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10749944
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10738930,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10739214
12,/player/Xinchi Gu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10749975
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10742148
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2396,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42330520
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10707133,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10744212
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/LeoShaw,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/88888888
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1337,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201605099739605
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033920,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3255
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47653,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10757002
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10749848,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2396
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019331,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/idk
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019487
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2396,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10697493
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10744096,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10736614
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10741925,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10720283,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10748163
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10757195,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10753798
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2811
29,/player/Xinchi Gu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47229
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10749925,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47229
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47607,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10757195
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10747537
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/panaaron,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019644,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47381
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10745614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/420
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10691007,/player/Xinchi Gu
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47607,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Dat Nguyen
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789123456789,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10748231
