,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12055159,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12056959,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/leeladhithya,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Rajeshkrishna,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12044839,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12044869
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012150411,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456789101,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5109286839
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Its KT,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12044403
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kevchu17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/11110000,/player/Seitaro Fukuda,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12053435
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/DrixlRey,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12046736,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12039627,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12046862
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12038850,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12038963,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aceofclay
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/SJSU,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix,/player/Richard Fleming,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/yeee
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12044351,/player/Nilay Vaish,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00000000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7000009318
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E201506088819470,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019734,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12044674,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033453
