,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277,./draw.aspx?id=52782F46-AF71-485F-BFE7-C0A1D0661C72&draw=18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168,./draw.aspx?id=52782F46-AF71-485F-BFE7-C0A1D0661C72&draw=1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10003702,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030231
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9939816,./draw.aspx?id=52782F46-AF71-485F-BFE7-C0A1D0661C72&draw=18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585,/player/Danice Long
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9985485,/player/Jasmine Lee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/11110000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027288
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012519,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024079,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030416
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/DXV,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034705,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034030,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030331
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9973946,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020495
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012519,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024079,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030290,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018454
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920170,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030282,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024184
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/DXV,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030331,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030371
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/antnguyen,/player/Jennifer Le
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030371,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/370,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10023884
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015188,./draw.aspx?id=52782F46-AF71-485F-BFE7-C0A1D0661C72&draw=1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015163
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030290,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018454,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/11110000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027288
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9985485,/player/Jasmine Lee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/13179292,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10023796
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/antnguyen,/player/Jennifer Le,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030256,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020500
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/13179292,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10023796,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027175
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Kay244,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12081784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12082953
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024093,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030128,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10000390,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/100800
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030280,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920170,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030282
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030436,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012519,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024079
