,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9947315
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Kakao1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9977355
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015163
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9925003
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10000390,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027251
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12081784
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914019,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9946526
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020780
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10011956,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10006622,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10014830
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9939816
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027216
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920170,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027076,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9946526
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10014830
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030330
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9996450,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024335
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015163
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9947989,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015188
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10011956
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020780,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397
24,/player/Danice Long,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10047765
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020495,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030433,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920170,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9947989
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10003702,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030231
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585,/player/Danice Long
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027216,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015163
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015188
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027076,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10006622,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020780
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018454,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jaylee
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Edward Xia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9996450
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10000390,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/082500
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9982968
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914019,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914020
43,/player/Stanley Ooi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9919634
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004948,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2032708
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024108,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10014830
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030282,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020257
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020495,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030371
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030280
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015188
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9947989,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9919634
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10006622
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024335,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030330
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004948,/player/Daniel Bi
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024391
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/082500,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027251
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12081784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9982968
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10006622,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027076
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/48017,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030282
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020257,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12082953
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020780
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10006622
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024391,/player/Daniel Bi
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10003702,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10000390
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024335
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018454,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020495
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030433,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037871,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10046957
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jaylee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10007045
74,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034311
75,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10029657
76,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/40113
77,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914020,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9946526
78,/player/Stanley Ooi,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004948
79,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920170,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539
80,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024184,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
81,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401361
82,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030080,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101
83,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9946526
84,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015163
85,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/082500,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10014830
86,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12081784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914020
87,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Edward Xia
88,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10019609,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024
89,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033929,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030080
90,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030280,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10047765
91,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024108,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9947989
92,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181
93,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034585,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035539
94,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024391,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397
95,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/987654321987654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277
96,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jaylee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10037871
97,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jintaochen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10015188
98,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12081784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/082500
99,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10019609,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401361
100,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033929,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101
101,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004948,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/26
102,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020257,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024184
103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030280,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020257
104,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914019
105,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024,/player/Stanley Ooi
106,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101
107,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9939816,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030277
108,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030175
109,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/69696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10024108
110,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0004948,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9920168
111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10019609,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030080
112,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033929,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024
113,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030371,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jaylee
114,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914397
115,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10027216,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025
116,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10007045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12082953
117,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10030080,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024
118,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10019609,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033929
119,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10003702,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX9914025
120,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10020257,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jaylee
121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10029657
122,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10012024,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/401361
123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/BC10101,/player/Stanley Ooi
