,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123454321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71617372
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12375491
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12425718
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/540836
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12404002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/06182001
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00676
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/cs91029,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403385,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12404019
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12362114
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12384680,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12402665
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47610,/player/Vinod raja Yenni
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Spencer
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12350298
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12409285
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403360
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10440002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12430913
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12418046,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/honhonhon
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019382,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12397072
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12418036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020491
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12391926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/125262526
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12285330,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/56911
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12391483
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00676,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/leeladhithya
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123454321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12404002
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403385
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/05161229,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020387 E
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403195
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12312617
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/tommy13810,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12384680
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403348
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12391483,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403687
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403511
36,/player/Tristan Garcia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12426225
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12375263
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033310
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47610,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10440002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/000000
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00676,/player/Vinod raja Yenni
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12390997,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12425718
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pmcdonnal,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123454321
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034181,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12409285
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12391483,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/71616033
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/tommy13810,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/56911
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Alan Wang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47916
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8517
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020387 E
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12370587,/player/Tristan Garcia
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kmangiants,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12350298
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47610,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033310
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0750
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012216347,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/87346
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/654321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47916
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12425718,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/56911
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12403195,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12362114
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/05161229
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12397072,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/honhonhon
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123454321
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12391926
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12285330,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42042042042042042042
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/kevchu17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034197
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019382,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12418046
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12418036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10440002
74,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020491,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12430913
