,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13625540,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13634987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13581852,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/i+dont+have+a+member
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13637686,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13638582,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13676016,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13676000
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2292,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13624177,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Trumantang
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020303,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13631508,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13638165,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13638214
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4086748270,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6692375294,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/540836,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020044
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13580937,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1021842,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13676860,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13676866
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/09150915,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/93359335,/player/Carsten Lam,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035080
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033310,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/9152505,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018380,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/9726,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13620402,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13620394
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/519230857,/player/Chris Vo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13672118,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/aceofclay
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13671556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/80085,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13631278
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/No+ID,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0051,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13549731,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13606598,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0320,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13671000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/william.c7879
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/14321,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13676970,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ragneo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Steben
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13620405,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13613720,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13630212,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13625927
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/a5512,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A8187,/player/Corey Kittirath,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/yeee
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13630998,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018471,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033991,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13677034
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Long+Le,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13671783,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3255,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123123
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13671719,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX13671712,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/clemmy,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/009772139
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/not+sure,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/thedachen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/666,/player/Kelmen E Low
