,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020261,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020772
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019581,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018334
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019564,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018691
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019809,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020522
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019506
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019515,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020793
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020513,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020773
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019307,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020282
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020742
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018951,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020746
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019500,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020537
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020287,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020761
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020501,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020777
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020757,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019285
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020789,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019716
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019489
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019933,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020729
17,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018398,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020762
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035529,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018946
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2441,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019868
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020126
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020787,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020712
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018242,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018221
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019487
