,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10200239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10203837,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10189967,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47490
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5543018,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/19176,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Derek_Leung,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX10223316
