,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12680784,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12712637
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034493,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/11428
2,/player/Nelvin Lo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tobyyu
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12694771,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Andrew Nguyen
4,/player/Domenick Owen Wuu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3034206465
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12697692,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/26
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12717787
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034036,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12718369
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12730222,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12712987
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12696621,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3031843205
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035324,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/n/a
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020709,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12642693
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018462,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47608
14,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/232556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020902
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47451,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/pmcdonnal
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/36382,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12717384
