,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ray Wu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/vsoai,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/vravuri,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/70789
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11665780,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11668992,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1745,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11657607
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/46971871,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/24959505,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11665236,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11665237
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Lawrence_Chen,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/carissasaylor,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/886294088,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jayleejexicalee
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11603156,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/4045855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11648907,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11648906
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/nonel,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/36764894,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/annachen4444,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11665782
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11628243,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12082953,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11678373,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11678320
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11724854,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11724936,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/002244,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5393066
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11636718,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11623932,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11626233
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11618804,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/douglaspan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/35121345,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11645380
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jayleejexicalee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/vsoai,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/53948,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/CalPoly1234
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/578476300,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/578476286,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/81647720,/player/Summer Wong
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11652624,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0926,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5552644,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11668992
