,Winner,Loser
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5393066,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11656941
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/95532543,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/none
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11643276,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11686993
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11688953,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11616745
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5552644,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/nonel
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11669167,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11617117
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/35536GW,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/81843171
7,/player/Johnny Zeng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1765111
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5378661,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11686993
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Asdf,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Oscar Liu
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3327,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11740136
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/7777777,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX11702235
